agency_code,agency,office_code,office,dept_code,dept,fund,approp
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0501,SURVEY COMMISSIONS                      ,General Fund,110000
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0503,OFFICE OF MINORITY AFFAIRS              ,General Fund,1361257
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0503,OFFICE OF MINORITY AFFAIRS              ,Special Fund,10000
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0505,OFFICE OF COMMUNITY INITIATIVES         ,General Fund,2354881
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0505,OFFICE OF COMMUNITY INITIATIVES         ,Special Fund,282400
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0505,OFFICE OF COMMUNITY INITIATIVES         ,Federal Fund,3933774
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0506,STATE ETHICS COMMISSION                 ,General Fund,816875
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0506,STATE ETHICS COMMISSION                 ,Special Fund,305142
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0507,HEALTH CARE ALT DISPUTE RESOLUTION OFF  ,General Fund,354755
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0507,HEALTH CARE ALT DISPUTE RESOLUTION OFF  ,Special Fund,45675
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0516,GOVERNOR'S OFFICE OF CRIME CONTROL      ,General Fund,97432574
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0516,GOVERNOR'S OFFICE OF CRIME CONTROL      ,Special Fund,2329730
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0516,GOVERNOR'S OFFICE OF CRIME CONTROL      ,Federal Fund,17581120
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0520,STATE COMMISSION ON CRIMINAL SENTENCING ,General Fund,460000
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0522,GOVERNORS GRANTS OFFICE                 ,General Fund,402949
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0522,GOVERNORS GRANTS OFFICE                 ,Special Fund,30000
D15,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",D15A05,"EXECUTIVE DEPT-BOARDS, COMMISSIONS AND OFFICES ",A0523,STATE LABOR RELATIONS BOARDS            ,General Fund,361509
D16,SECRETARY OF STATE ,D16A06,SECRETARY OF STATE ,A0601,OFFICE OF THE SECRETARY OF STATE        ,General Fund,1930672
D16,SECRETARY OF STATE ,D16A06,SECRETARY OF STATE ,A0601,OFFICE OF THE SECRETARY OF STATE        ,Special Fund,455352
D17,HISTORIC ST. MARY'S CITY COMMISSION ,D17B01,HISTORIC ST. MARY'S CITY COMMISSION ,B0151,GENERAL ADMINISTRATION                  ,General Fund,2140315
D17,HISTORIC ST. MARY'S CITY COMMISSION ,D17B01,HISTORIC ST. MARY'S CITY COMMISSION ,B0151,GENERAL ADMINISTRATION                  ,Special Fund,896382
D18,GOVERNOR'S OFFICE FOR CHILDREN,D18A18,GOVERNOR'S OFFICE FOR CHILDREN,A1801,GOVERNOR'S OFFICE FOR CHILDREN,General Fund,1886708
D25,INTERAGENCY COMMITTEE FOR SCHOOL CONSTRUCTION ,D25E03,INTERAGENCY COMMITTEE FOR SCHOOL CONSTRUCTION ,E0301,GENERAL ADMINISTRATION                  ,General Fund,1808366
D25,INTERAGENCY COMMITTEE FOR SCHOOL CONSTRUCTION ,D25E03,INTERAGENCY COMMITTEE FOR SCHOOL CONSTRUCTION ,E0302,AGING SCHOOL PROGRAM                    ,General Fund,42102
D26,DEPARTMENT OF AGING ,D26A07,MARYLAND DEPARTMENT ON AGING ,A0701,OPERATING ACCOUNT                       ,General Fund,20625371
D26,DEPARTMENT OF AGING ,D26A07,MARYLAND DEPARTMENT ON AGING ,A0701,OPERATING ACCOUNT                       ,Special Fund,478019
D26,DEPARTMENT OF AGING ,D26A07,MARYLAND DEPARTMENT ON AGING ,A0701,OPERATING ACCOUNT                       ,Federal Fund,27372512
D26,DEPARTMENT OF AGING ,D26A07,MARYLAND DEPARTMENT ON AGING ,A0702,SENIOR CENTERS OPERATING FUND           ,General Fund,500000
D27,COMMISSION ON HUMAN RELATIONS ,D27L00,COMMISSION ON HUMAN RELATIONS ,L0001,GENERAL ADMINISTRATION                  ,General Fund,2490703
D27,COMMISSION ON HUMAN RELATIONS ,D27L00,COMMISSION ON HUMAN RELATIONS ,L0001,GENERAL ADMINISTRATION                  ,Federal Fund,628974
D28,MARYLAND STADIUM AUTHORITY ,D28A03,MARYLAND STADIUM AUTHORITY ,A0302,MARYLAND STADIUM FACILITIES FUND        ,Special Fund,20000000
D28,MARYLAND STADIUM AUTHORITY ,D28A03,MARYLAND STADIUM AUTHORITY ,A0355,BALTIMORE CONVENTION CENTER             ,General Fund,9016587
D28,MARYLAND STADIUM AUTHORITY ,D28A03,MARYLAND STADIUM AUTHORITY ,A0358,OCEAN CITY CONVENTION CENTER            ,General Fund,2780353
D28,MARYLAND STADIUM AUTHORITY ,D28A03,MARYLAND STADIUM AUTHORITY ,A0359,MONTGOMERY COUNTY CONFERENCE CENTER     ,General Fund,1556000
D28,MARYLAND STADIUM AUTHORITY ,D28A03,MARYLAND STADIUM AUTHORITY ,A0360,HIPPODROME PERFORMING ARTS CTR-CAP APPRO,General Fund,1393060
D38,STATE BOARD OF ELECTIONS ,D38I01,STATE BOARD OF ELECTIONS ,I0101,GENERAL ADMINISTRATION                  ,General Fund,4135140
D38,STATE BOARD OF ELECTIONS ,D38I01,STATE BOARD OF ELECTIONS ,I0101,GENERAL ADMINISTRATION                  ,Special Fund,168851
D38,STATE BOARD OF ELECTIONS ,D38I01,STATE BOARD OF ELECTIONS ,I0102,HELP AMERICA VOTE ACT                   ,General Fund,2372207
D38,STATE BOARD OF ELECTIONS ,D38I01,STATE BOARD OF ELECTIONS ,I0102,HELP AMERICA VOTE ACT                   ,Special Fund,5505180
D38,STATE BOARD OF ELECTIONS ,D38I01,STATE BOARD OF ELECTIONS ,I0102,HELP AMERICA VOTE ACT                   ,Federal Fund,100000
D38,STATE BOARD OF ELECTIONS ,D38I01,STATE BOARD OF ELECTIONS ,I0103,TECHNOLOGY DEVELOPMENT PROJECTS         ,Special Fund,2061485
D39,MARYLAND STATE BOARD OF CONTRACT APPEALS ,D39S00,MARYLAND STATE BOARD OF CONTRACT APPEALS ,S0001,CONTRACT APPEALS RESOLUTION             ,General Fund,663248
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0101,GENERAL ADMINISTRATION                  ,General Fund,2722795
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0102,COMMUNICATIONS & INTERGOVT'L AFFAIRS    ,General Fund,1103610
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0103,PLANNING DATA SERVICES                  ,General Fund,2451160
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0103,PLANNING DATA SERVICES                  ,Special Fund,145615
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0104,PLANNING SERVICES                       ,General Fund,1923424
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0104,PLANNING SERVICES                       ,Federal Fund,49650
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0107,OFFICE OF MGMT,General Fund,1253118
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0107,OFFICE OF MGMT,Special Fund,3191007
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0107,OFFICE OF MGMT,Federal Fund,1078158
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0108,OFFICE OF MUSEUM SERVICES               ,General Fund,1905831
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0108,OFFICE OF MUSEUM SERVICES               ,Special Fund,651506
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0108,OFFICE OF MUSEUM SERVICES               ,Federal Fund,80113
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0109,OFFICE OF RESEARCH SURVEY & REGISTRATION,General Fund,938072
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0109,OFFICE OF RESEARCH SURVEY & REGISTRATION,Special Fund,83590
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0109,OFFICE OF RESEARCH SURVEY & REGISTRATION,Federal Fund,322873
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0110,OFFICE OF PRESERVATION SERVICES         ,General Fund,580979
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0110,OFFICE OF PRESERVATION SERVICES         ,Special Fund,365742
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0110,OFFICE OF PRESERVATION SERVICES         ,Federal Fund,224645
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0111,HISTORICAL PRESERVATION-CAPITAL APPN    ,Special Fund,200000
D40,DEPARTMENT OF PLANNING ,D40W01,DEPARTMENT OF PLANNING ,W0112,SUSTAINABLE COMMUNITIES TAX CREDIT      ,General Fund,10000000
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0101,ADMINISTRATIVE HEADQUARTERS             ,General Fund,2679454
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0101,ADMINISTRATIVE HEADQUARTERS             ,Special Fund,39976
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0101,ADMINISTRATIVE HEADQUARTERS             ,Federal Fund,115256
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0102,AIR OPERATIONS AND MAINTENANCE          ,General Fund,679207
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0102,AIR OPERATIONS AND MAINTENANCE          ,Federal Fund,4215302
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0103,ARMY OPERATIONS AND MAINTENANCE         ,General Fund,3946276
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0103,ARMY OPERATIONS AND MAINTENANCE         ,Special Fund,121991
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0103,ARMY OPERATIONS AND MAINTENANCE         ,Federal Fund,8853316
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0104,CAPITAL APPROPRIATIONS                  ,Federal Fund,1950000
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0105,STATE OPERATIONS                        ,General Fund,2617622
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0105,STATE OPERATIONS                        ,Federal Fund,2943249
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0106,MD EMERGENCY MANAGEMENT                 ,General Fund,2288849
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0106,MD EMERGENCY MANAGEMENT                 ,Special Fund,14825000
D50,MILITARY DEPARTMENT ,D50H01,MILITARY DEPARTMENT OPERATIONS AND MAINTENANCE ,H0106,MD EMERGENCY MANAGEMENT                 ,Federal Fund,31162256
